TIPUS,VALASZTAS,SZAVAZOKOR,LISTA,SZAVAZAT
Listas,2014EP,01_002_035,DEMOKRATIKUS KOALÍCIÓ,51
Listas,2014EP,01_002_035,LMP,45
Listas,2014EP,01_002_035,JOBBIK,39
Listas,2014EP,01_002_035,MSZP,27
Listas,2014EP,01_002_035,SMS,2
Listas,2014EP,01_002_035,A HAZA NEM ELADÓ,1
Listas,2014EP,01_002_036,FIDESZ-KDNP,233
Listas,2014EP,01_002_036,EGYÜTT-PM,84
Listas,2014EP,01_002_036,LMP,51
Listas,2014EP,01_002_036,DEMOKRATIKUS KOALÍCIÓ,42
Listas,2014EP,01_002_036,MSZP,41
Listas,2014EP,01_002_036,JOBBIK,12
Listas,2014EP,01_002_036,SMS,2
Listas,2014EP,01_002_036,A HAZA NEM ELADÓ,1
Listas,2014EP,01_002_037,FIDESZ-KDNP,239
Listas,2014EP,01_002_037,EGYÜTT-PM,72
Listas,2014EP,01_002_037,LMP,67
Listas,2014EP,01_002_037,DEMOKRATIKUS KOALÍCIÓ,47
Listas,2014EP,01_002_037,JOBBIK,25
Listas,2014EP,01_002_037,MSZP,22
Listas,2014EP,01_002_037,SMS,3
Listas,2014EP,01_002_037,A HAZA NEM ELADÓ,2
Listas,2014EP,01_002_038,FIDESZ-KDNP,269
Listas,2014EP,01_002_038,EGYÜTT-PM,75
Listas,2014EP,01_002_038,LMP,58
Listas,2014EP,01_002_038,JOBBIK,54
Listas,2014EP,01_002_038,DEMOKRATIKUS KOALÍCIÓ,40
Listas,2014EP,01_002_038,MSZP,35
Listas,2014EP,01_002_038,SMS,1
Listas,2014EP,01_002_038,A HAZA NEM ELADÓ,1
Listas,2014EP,01_002_039,FIDESZ-KDNP,219
Listas,2014EP,01_002_039,EGYÜTT-PM,68
Listas,2014EP,01_002_039,LMP,34
Listas,2014EP,01_002_039,JOBBIK,33
Listas,2014EP,01_002_039,MSZP,33
Listas,2014EP,01_002_039,DEMOKRATIKUS KOALÍCIÓ,32
Listas,2014EP,01_002_039,SMS,2
Listas,2014EP,01_002_039,A HAZA NEM ELADÓ,1
Listas,2014EP,01_002_040,FIDESZ-KDNP,224
Listas,2014EP,01_002_040,DEMOKRATIKUS KOALÍCIÓ,42
Listas,2014EP,01_002_040,MSZP,37
Listas,2014EP,01_002_040,LMP,35
Listas,2014EP,01_002_040,JOBBIK,34
Listas,2014EP,01_002_040,EGYÜTT-PM,29
Listas,2014EP,01_002_040,A HAZA NEM ELADÓ,4
Listas,2014EP,01_002_040,SMS,0
Listas,2014EP,01_002_041,FIDESZ-KDNP,197
Listas,2014EP,01_002_041,EGYÜTT-PM,38
Listas,2014EP,01_002_041,LMP,37
Listas,2014EP,01_002_041,DEMOKRATIKUS KOALÍCIÓ,32
Listas,2014EP,01_002_041,MSZP,31
Listas,2014EP,01_002_041,JOBBIK,29
Listas,2014EP,01_002_041,A HAZA NEM ELADÓ,0
Listas,2014EP,01_002_041,SMS,0
Listas,2014EP,01_002_042,FIDESZ-KDNP,183
Listas,2014EP,01_002_042,EGYÜTT-PM,59
Listas,2014EP,01_002_042,LMP,44
Listas,2014EP,01_002_042,DEMOKRATIKUS KOALÍCIÓ,43
Listas,2014EP,01_002_042,JOBBIK,40
Listas,2014EP,01_002_042,MSZP,32
Listas,2014EP,01_002_042,SMS,1
Listas,2014EP,01_002_042,A HAZA NEM ELADÓ,0
Listas,2014EP,01_002_043,FIDESZ-KDNP,219
Listas,2014EP,01_002_043,EGYÜTT-PM,70
Listas,2014EP,01_002_043,DEMOKRATIKUS KOALÍCIÓ,41
Listas,2014EP,01_002_043,LMP,40
Listas,2014EP,01_002_043,JOBBIK,28
Listas,2014EP,01_002_043,MSZP,23
Listas,2014EP,01_002_043,SMS,2
Listas,2014EP,01_002_043,A HAZA NEM ELADÓ,0
Listas,2014EP,01_002_044,FIDESZ-KDNP,238
Listas,2014EP,01_002_044,EGYÜTT-PM,65
Listas,2014EP,01_002_044,LMP,60
Listas,2014EP,01_002_044,JOBBIK,48
Listas,2014EP,01_002_044,DEMOKRATIKUS KOALÍCIÓ,40
